0       number0
1       number1
2       number2
3       number3
4       number4
5       number5
6       number6
7       number7
8       number8
9       number9
a       lettera
b       letterb
c       letterc
d       letterd
e       lettere
f       letterf
g       letterg
h       letterh
i       letteri
j       letterj
k       letterk
l       letterl
m       letterm
n       lettern
o       lettero
p       letterp
q       letterq
r       letterr
s       letters
t       lettert
u       letteru
v       letterv
w       letterw
x       letterx
y       lettery
z       letterz
